Name,Name_c,Type,Address,Region,Town,Phone,Feature,Description
中山區 Scenic Area,中山區老街,自然景觀,"No.91, 中山區, 台北市",台北市,中山區,886-3-1702350,溫泉池,"A well-known 自然景觀 in 中山區, famous for its 溫泉池."
中西區 Hot Spring,中西區溫泉,自然景觀,"No.132, 中西區, 台南市",台南市,中西區,886-9-2963808,溫泉池,"A well-known 自然景觀 in 中西區, famous for its 溫泉池."
西區 Tourist Spot,西區風景區,夜市,"No.40, 西區, 台中市",台中市,西區,886-8-6754572,歷史建築,"A well-known 夜市 in 西區, famous for its 歷史建築."
永和區 Scenic Area,永和區登山口,觀光工廠,"No.280, 永和區, 新北市",新北市,永和區,886-8-4470175,歷史建築,"A well-known 觀光工廠 in 永和區, famous for its 歷史建築."
安平區 Trailhead,安平區觀光景點,博物館,"No.95, 安平區, 台南市",台南市,安平區,886-8-3213152,高山景觀,"A well-known 博物館 in 安平區, famous for its 高山景觀."
苓雅區 Old Street,苓雅區溫泉,登山步道,"No.156, 苓雅區, 高雄市",高雄市,苓雅區,886-5-7814426,兒童遊樂設施,"A well-known 登山步道 in 苓雅區, famous for its 兒童遊樂設施."
大安區 Old Street,大安區溫泉,登山步道,"No.189, 大安區, 台北市",台北市,大安區,886-5-6455304,海岸線,"A well-known 登山步道 in 大安區, famous for its 海岸線."
西區 Trailhead,西區風景區,主題樂園,"No.35, 西區, 台中市",台中市,西區,886-6-9034123,動物展示,"A well-known 主題樂園 in 西區, famous for its 動物展示."
大安區 Tourist Spot,大安區老街,主題樂園,"No.135, 大安區, 台北市",台北市,大安區,886-8-7133679,古廟,"A well-known 主題樂園 in 大安區, famous for its 古廟."
台東市 Tourist Spot,台東市老街,文化古蹟,"No.228, 台東市, 台東縣",台東縣,台東市,886-5-8187192,動物展示,"A well-known 文化古蹟 in 台東市, famous for its 動物展示."
西區 Old Street,西區老街,自然景觀,"No.185, 西區, 台中市",台中市,西區,886-2-4665650,海岸線,"A well-known 自然景觀 in 西區, famous for its 海岸線."
中和區 Hot Spring,中和區觀光景點,文化古蹟,"No.135, 中和區, 新北市",新北市,中和區,886-7-7156975,瀑布,"A well-known 文化古蹟 in 中和區, famous for its 瀑布."
長濱鄉 Scenic Area,長濱鄉風景區,自然景觀,"No.124, 長濱鄉, 台東縣",台東縣,長濱鄉,886-9-9626330,夜市小吃,"A well-known 自然景觀 in 長濱鄉, famous for its 夜市小吃."
永和區 Old Street,永和區風景區,文化古蹟,"No.268, 永和區, 新北市",新北市,永和區,886-2-7306842,夜市小吃,"A well-known 文化古蹟 in 永和區, famous for its 夜市小吃."
左營區 Scenic Area,左營區風景區,主題樂園,"No.135, 左營區, 高雄市",高雄市,左營區,886-8-7973462,古廟,"A well-known 主題樂園 in 左營區, famous for its 古廟."
壽豐鄉 Hot Spring,壽豐鄉登山口,夜市,"No.260, 壽豐鄉, 花蓮縣",花蓮縣,壽豐鄉,886-4-2598916,高山景觀,"A well-known 夜市 in 壽豐鄉, famous for its 高山景觀."
成功鎮 Tourist Spot,成功鎮觀光景點,自然景觀,"No.46, 成功鎮, 台東縣",台東縣,成功鎮,886-2-1160759,瀑布,"A well-known 自然景觀 in 成功鎮, famous for its 瀑布."
板橋區 Trailhead,板橋區觀光景點,文化古蹟,"No.266, 板橋區, 新北市",新北市,板橋區,886-3-2353372,兒童遊樂設施,"A well-known 文化古蹟 in 板橋區, famous for its 兒童遊樂設施."
中西區 Trailhead,中西區老街,觀光工廠,"No.267, 中西區, 台南市",台南市,中西區,886-8-6400219,溫泉池,"A well-known 觀光工廠 in 中西區, famous for its 溫泉池."
左營區 Trailhead,左營區登山口,登山步道,"No.59, 左營區, 高雄市",高雄市,左營區,886-8-3308067,兒童遊樂設施,"A well-known 登山步道 in 左營區, famous for its 兒童遊樂設施."
中山區 Scenic Area,中山區溫泉,觀光工廠,"No.293, 中山區, 台北市",台北市,中山區,886-2-6134173,溫泉池,"A well-known 觀光工廠 in 中山區, famous for its 溫泉池."
鹿野鄉 Scenic Area,鹿野鄉老街,主題樂園,"No.109, 鹿野鄉, 台東縣",台東縣,鹿野鄉,886-3-1410245,溫泉池,"A well-known 主題樂園 in 鹿野鄉, famous for its 溫泉池."
光復鄉 Scenic Area,光復鄉溫泉,主題樂園,"No.136, 光復鄉, 花蓮縣",花蓮縣,光復鄉,886-6-7604370,夜市小吃,"A well-known 主題樂園 in 光復鄉, famous for its 夜市小吃."
卑南鄉 Hot Spring,卑南鄉溫泉,觀光工廠,"No.244, 卑南鄉, 台東縣",台東縣,卑南鄉,886-8-7338520,夜市小吃,"A well-known 觀光工廠 in 卑南鄉, famous for its 夜市小吃."
板橋區 Scenic Area,板橋區風景區,主題樂園,"No.267, 板橋區, 新北市",新北市,板橋區,886-7-7055478,瀑布,"A well-known 主題樂園 in 板橋區, famous for its 瀑布."
北屯區 Tourist Spot,北屯區老街,博物館,"No.252, 北屯區, 台中市",台中市,北屯區,886-2-7120308,動物展示,"A well-known 博物館 in 北屯區, famous for its 動物展示."
光復鄉 Hot Spring,光復鄉風景區,自然景觀,"No.75, 光復鄉, 花蓮縣",花蓮縣,光復鄉,886-2-1746320,古廟,"A well-known 自然景觀 in 光復鄉, famous for its 古廟."
吉安鄉 Old Street,吉安鄉登山口,登山步道,"No.295, 吉安鄉, 花蓮縣",花蓮縣,吉安鄉,886-7-2495473,夜市小吃,"A well-known 登山步道 in 吉安鄉, famous for its 夜市小吃."
吉安鄉 Hot Spring,吉安鄉風景區,觀光工廠,"No.246, 吉安鄉, 花蓮縣",花蓮縣,吉安鄉,886-9-6651846,溫泉池,"A well-known 觀光工廠 in 吉安鄉, famous for its 溫泉池."
北屯區 Old Street,北屯區觀光景點,主題樂園,"No.91, 北屯區, 台中市",台中市,北屯區,886-2-8812981,瀑布,"A well-known 主題樂園 in 北屯區, famous for its 瀑布."
光復鄉 Hot Spring,光復鄉溫泉,文化古蹟,"No.77, 光復鄉, 花蓮縣",花蓮縣,光復鄉,886-3-4884720,溫泉池,"A well-known 文化古蹟 in 光復鄉, famous for its 溫泉池."
板橋區 Old Street,板橋區風景區,文化古蹟,"No.37, 板橋區, 新北市",新北市,板橋區,886-2-8846677,高山景觀,"A well-known 文化古蹟 in 板橋區, famous for its 高山景觀."
壽豐鄉 Scenic Area,壽豐鄉登山口,觀光工廠,"No.250, 壽豐鄉, 花蓮縣",花蓮縣,壽豐鄉,886-5-3947807,夜市小吃,"A well-known 觀光工廠 in 壽豐鄉, famous for its 夜市小吃."
中西區 Old Street,中西區登山口,夜市,"No.268, 中西區, 台南市",台南市,中西區,886-3-5533164,瀑布,"A well-known 夜市 in 中西區, famous for its 瀑布."
鹿野鄉 Old Street,鹿野鄉老街,文化古蹟,"No.124, 鹿野鄉, 台東縣",台東縣,鹿野鄉,886-2-8313016,歷史建築,"A well-known 文化古蹟 in 鹿野鄉, famous for its 歷史建築."
板橋區 Hot Spring,板橋區觀光景點,主題樂園,"No.124, 板橋區, 新北市",新北市,板橋區,886-3-8413613,動物展示,"A well-known 主題樂園 in 板橋區, famous for its 動物展示."
光復鄉 Trailhead,光復鄉觀光景點,溫泉區,"No.114, 光復鄉, 花蓮縣",花蓮縣,光復鄉,886-4-9815000,夜市小吃,"A well-known 溫泉區 in 光復鄉, famous for its 夜市小吃."
中壢區 Old Street,中壢區風景區,夜市,"No.228, 中壢區, 桃園市",桃園市,中壢區,886-4-2272527,歷史建築,"A well-known 夜市 in 中壢區, famous for its 歷史建築."
卑南鄉 Trailhead,卑南鄉老街,觀光工廠,"No.126, 卑南鄉, 台東縣",台東縣,卑南鄉,886-8-3614205,溫泉池,"A well-known 觀光工廠 in 卑南鄉, famous for its 溫泉池."
中壢區 Trailhead,中壢區風景區,觀光工廠,"No.265, 中壢區, 桃園市",桃園市,中壢區,886-8-1324616,動物展示,"A well-known 觀光工廠 in 中壢區, famous for its 動物展示."
三民區 Scenic Area,三民區風景區,博物館,"No.285, 三民區, 高雄市",高雄市,三民區,886-6-5088486,瀑布,"A well-known 博物館 in 三民區, famous for its 瀑布."
三民區 Old Street,三民區老街,主題樂園,"No.34, 三民區, 高雄市",高雄市,三民區,886-8-4540260,兒童遊樂設施,"A well-known 主題樂園 in 三民區, famous for its 兒童遊樂設施."
中壢區 Hot Spring,中壢區溫泉,文化古蹟,"No.148, 中壢區, 桃園市",桃園市,中壢區,886-4-6195347,古廟,"A well-known 文化古蹟 in 中壢區, famous for its 古廟."
中壢區 Hot Spring,中壢區老街,文化古蹟,"No.91, 中壢區, 桃園市",桃園市,中壢區,886-3-1295452,海岸線,"A well-known 文化古蹟 in 中壢區, famous for its 海岸線."
三民區 Trailhead,三民區溫泉,登山步道,"No.108, 三民區, 高雄市",高雄市,三民區,886-2-2093329,夜市小吃,"A well-known 登山步道 in 三民區, famous for its 夜市小吃."
大安區 Tourist Spot,大安區登山口,主題樂園,"No.115, 大安區, 台北市",台北市,大安區,886-5-4022383,海岸線,"A well-known 主題樂園 in 大安區, famous for its 海岸線."
大安區 Trailhead,大安區老街,主題樂園,"No.151, 大安區, 台北市",台北市,大安區,886-9-5633640,歷史建築,"A well-known 主題樂園 in 大安區, famous for its 歷史建築."
